Part;Property ID;IsSpecialisedOf;Property type;Creators language;Names in language de-DE;Definitions in language de-DE;Descriptions in language de-DE;Examples in language de-DE;Names in language EN;"Definitions in language EN
(Ralf 1)";Descriptions in language EN;"Examples in language EN
(Ralf 2)";Symbols of the property in a given property group;Visual representation;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or document;Reference to VDI 3805 record no;QuantityID;UnitNo;Method of measurement;Data Type;List of Possible Values;abstract_property with superset of values;Class assignment;Parameters of the dependent property;Type of enumeration;Classification system;Identifier ETIM;ETIM Mapping Quality;Definition ETIM;Identifier IFC 2_3;IFC 2_3 Mapping Quality;Definition IFC 2_3;Identifier IFC 4x;IFC 4x Mapping Quality;Definition IFC 4x;Identifier CIBSE;CISBE Mapping Quality;Definition CIBSE;Identifier prodBIM;prodBIM Mapping Quality;Definition prodBIM;Identifier ECLASS;ECLASS Mapping Quality;Definition ECLASS;Identifier UniversalType;UniversalType Mapping Quality;Definition UniversalType;P002 Class assignment;P003 Class assignment;P004 Class assignment;P005 Class assignment;P006 Class assignment;P007 Class assignment;P008 Class assignment;P009 Class assignment;P010 Class assignment;P011 Class assignment;P012 Class assignment;P013 Class assignment;P014 Class assignment;P015 Class assignment;P016 Class assignment;P017 Class assignment;P018 Class assignment;P019 Class assignment;P020 Class assignment;P021 Class assignment;P022 Class assignment;P023 Class assignment;P024 Class assignment;P025 Class assignment;P026 Class assignment;P027 Class assignment;P028 Class assignment;P029 Class assignment;P030 Class assignment;P031 Class assignment;P032 Class assignment;P033 Class assignment;P034 Class assignment;P035 Class assignment;P036 Class assignment;P037 Class assignment;P038 Class assignment;P039 Class assignment;P040 Class assignment;P041 Class assignment;P042 Class assignment;P043 Class assignment;P044 Class assignment;P045 Class assignment;P046 Class assignment;P047 Class assignment;P048 Class assignment;P049 Class assignment
22;A001.0612;;1;de-DE;Treibhauspotential – GWP;;;;global warming potential – GWP;Global Warming Potential of the Refrigerant;;an index describing the radiative characteristics of well-mixed greenhouse gases, that represents the combined effects of the differing times these gases remain in the atmosphere and their relative effectiveness in adsorbing outgoing infrared radiation. This index approximates the time integrated warming effect of a given greenhouse gas in today’s atmosphere, relative to CO2;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);1;;float;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0620;;1;de-DE;??? Treibhauspotential 100 (GWP100);nach Verordnung (EG) Nr. 842/2006;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);1;;float;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0614;;1;de-DE;Bauart des Kältekreis;;;"1 = hermetisch geschlossen
2 = nicht hermetisch geschlossen";design of refrigerant circuit;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0615;;1;de-DE;Sicherheitsklasse nach DIN EN 378-1;;A1, A2, A3, B1, B2, B3, wobei: A = geringere Giftigkeit, B = größere Giftigkeit, 1 = keine Flammenausbreitung, 2 = geringere Brennbarkeit, 3 = größere Brennbarkeit;;safety class according to DIN EN 378-1;Safety Class;;Classification of the refrigerant according to EN 378-1;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0616;;1;de-DE;Hinweistext zum Kältemittel;;z. B. Enthält fluorierte Treibhausgase;;additional information on refrigerant;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22+46:101;A001.0617;;1;de-DE;Verdichtertyp;;;"1 = Hubkolbenverdichter
2 = Rollkolbenverdichter
3 = Schraubenverdichter
4 = Scrollverdichter
5 = Swingverdichter
99 = sonstiges";Type of compressor;Compressor;;;;;DE;;DE;;;;;;;;;;;;;;22-700-40;;;;string enum;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0108;;1;de-DE;Maximaler Betriebsüberdruck;Der Druck, der für ein Bauteil oder Gerät auf Grund der verwendeten Werkstoffe und den Berechnungsregeln bei der festgelegten Arbeitstemperatur zulässig ist.;Überdruck ist die Bezeichnung für Druck, der relativ zum Atmosphärendruck bzw. Luftdruck gemessen wird. Wert = 0 ist drucklos.;;Maximum allowable operating pressure;;;;;;DE;;DE;;;;;;;;;;;;;;36-700-13;Q2200 (Druck);6;;float;;;B022.0002;;;;EF020449;;Maximum Heating Operating Pressure;;;;;;;EF020449;;Maximum Heating Operating Pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wärmequellenkreis (Sole bei B0/W35);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0100;;1;de-DE;Beschreibung;;;;Dispription;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0609;;1;de-DE;Quellentemperaturspreizung;;;;;;;;ΔT;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);1;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0510;;1;de-DE;minimaler Volumenstrom;;minimal notwendiger Volumenstrom;;maximum volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0511;;1;de-DE;maximaler Volumenstrom;;maximal zulässiger Volumenstrom;;minimum volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0512;;1;de-DE;Nennvolumenstrom;;;;nominal volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0513;;4;de-DE;Wärmequellenpumpe integriert;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;boolean;;;B022.0003, B022.0004;A001.0920,A001.0921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Liste dependent Properties;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0920;;1;de-DE;maximale elektrische Leistungsaufnahme;"oder ??? bei 250 mbar
externem Druckverlust  ??";Produktkennwert für DIN V 4701-10;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0921;;1;de-DE;maximale Restförderhöhe;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2200 (Druck);6;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sole-Wasser-Wärmepumpe kühlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P22.0007;;1;de-DE;Art der Kühlfunktion;;;"0=keine Kühlfunktion möglich
1=integrierte aktive Kühlfunktion
2=integrierte passive Kühlfunktion
3=integrierte aktive und passive Kühlfunktion
4=passive integriert und aktive Kühlfunktion optional durch externe Zusatzmodule möglich
5=optional, durch externe Zusatzmodule möglich";;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;B022.0011,B022.0012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0111;;1;de-DE;Automatische Umschaltung von passiv auf aktiv Kühlen;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;boolean;;;B022.0011,B022.0012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0112;;1;de-DE;Kühlfunktion;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;B022.0011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0113;;1;de-DE;Kühlleistung bei B15 W23;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0114;;1;de-DE;Kühlleistungszahl bei B15 W23;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);2;;float;;;B022.0011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0115;;1;de-DE;minimale Vorlauftemperatur;;beim Kühlen;;minimum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);2;;float;;;B022.0011,B022.0012,B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling,blocWaterWaterHeatpumpCooling,blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wärmequellenkreislauf (Wasser bei W10/W35);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0100;;1;de-DE;Beschreibung;;;;Dispription;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0609;;1;de-DE;Quellentemperaturspreizung;;;;;;;;ΔT;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);1;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0510;;1;de-DE;minimaler Volumenstrom;;minimal notwendiger Volumenstrom;;maximum volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0511;;1;de-DE;maximaler Volumenstrom;;maximal zulässiger Volumenstrom;;minimum volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0512;;1;de-DE;Nennvolumenstrom;;;;nominal volume flow rate ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0003, B022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0513;;4;de-DE;Wärmequellenpumpe integriert;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;boolean;;;B022.0003, B022.0004;A001.0920,A001.0921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wasser-Wasser-Wärmepumpe kühlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0142;;1;de-DE;Kühlleistung bei W15 W23;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocWaterWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0143;;1;de-DE;Kühlleistungszahl bei W15 W23;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);1;;float;;;B022.0012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocWaterWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Luftkreislauf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0150;;1;de-DE;Abtauart;;;"1 = Kreislaufumkehr
2 = Heißgasbypass
3 = Sonstige";defrosting type;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.05-6;;;;string enum;;;B022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0151;;1;de-DE;Anzahl Lüfter;;;;fan power consumption;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8003 (Anzahl);1;;float;;;B022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0152;;1;de-DE;Max. Leistungsaufnahme Lüfter;;aller Lüfter;;fan power consumption;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.05-6;Q2600 (Leistung);6;;float;;;B022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;offener Lufteintritt / -austritt (Gitter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0153;;1;de-DE;Silentmodus;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;boolean;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0154;;1;de-DE;Aufstellungsort;;;"1 = Aussen
2 = Innen
3 = Innen, eck";;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0155;;1;de-DE;Schallleistungspegel Lufteintritt;;;;sound power level air inlet;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0156;;1;de-DE;Schallleistungspegel Luftaustritt;;;;sound power level air oulet;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0157;;1;de-DE;Schallleistungspegel Lufteintritt max;;;;sound power level air inlet max;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0158;;1;de-DE;Schallleistungspegel Luftaustritt max;;;;sound power level air oulet max;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0160;;1;de-DE;Max. Volumenstrom;;;;;Air Flow Rate;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kanaleinbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0155;;1;de-DE;Silentmodus;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;boolean;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0156;;1;de-DE;Schallleistungspegel Lufteintritt;;;;sound power level air inlet;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0157;;1;de-DE;Schallleistungspegel Luftaustritt;;;;sound power level air oulet;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0158;;1;de-DE;Schallleistungspegel Lufteintritt max;;;;sound power level air inlet max;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0159;;1;de-DE;Schallleistungspegel Luftaustritt max;;;;sound power level air oulet max;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0160;;1;de-DE;Max. verfügbare externe Pressung;;;;Max. external pressure available;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2200 (Druck);1;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0159;;1;de-DE;Max. Volumenstrom;;;;;Air Flow Rate;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Luft-Wasser-Wärmepumpe kühlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0150;;1;de-DE;Abtauart;;;"1 = Kreislaufumkehr
2 = Heißgasbypass
3 = Sonstige";defrosting type;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.05-6;;;;string enum;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0160;;1;de-DE;Kühlleistung bei A35 W18;;;;cooling output at A35 W18;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0161;;1;de-DE;Kühlleistungszahl bei A35 W18;;;;energy efficiency ratio at A35 W18;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);1;;float;;;B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0162;;1;de-DE;Kühlleistung bei A35 W7;;;;cooling output at A35 W7;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0163;;1;de-DE;Kühlleistungszahl bei A35 W7;;;;energy efficiency ratio at A35 W7;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8002 (Faktor);1;;float;;;B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0115;;1;de-DE;minimale Vorlauftemperatur;;beim Kühlen;;minimum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);2;;float;;;B022.0011,B022.0012,B022.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocBrineWaterHeatpumpCooling,blocWaterWaterHeatpumpCooling,blocAirWaterHeatpumpCooling;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Direktverdampfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0170;;1;de-DE;Bauart Verdampfer;;;;Vaporiser type;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;C022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022DirectEvaporationHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0171;;1;de-DE;Werkstoff Verdampfer;;;;Vaporiser material;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;C022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022DirectEvaporationHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0172;;1;de-DE;Anzahl Kreise;;;;Number of circles;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8003 (Anzahl);1;;float;;;C022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022DirectEvaporationHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0173;;1;de-DE;Max. Gesamtlänge;;;;Max. Total length;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);1;;float;;;C022.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022DirectEvaporationHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Einsatzgrenzen der Wärmequelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0180;;1;de-DE;Betriebmodus der Wärmepumpe;;;"1 = Heizen
2 = Kühlen
3 = Trinkwassererwärmung";Operation mode of the heat pump;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;B022.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0181;;1;de-DE;Minimale Einsatztemperatur;;;;Minimum operating temperature;Lower Limit;;Minimum temperature of the heat source so that the heat pump is functioning;;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);2;;float;;;B022.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0182;;1;de-DE;Maximale Einsatztemperatur;;;;Maximum operating temperature;Higher Limit;;Maximum temperature of the heat source so that the heat pump is functioning;;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);2;;float;;;B022.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Aufstellungsort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
